age_trun,sex,htpct,sbp90,sbp95,sbp99,dbp90,dbp95,dbp99
3,1,5,99,102,108,62,65,72
3,1,10,100,103,109,63,65,72
3,1,25,101,104,110,63,66,72
3,1,50,102,105,112,63,66,73
3,1,75,103,107,113,63,66,73
3,1,90,104,107,114,63,66,73
3,1,95,105,108,115,63,66,73
4,1,5,101,104,111,64,67,74
4,1,10,102,105,111,64,67,74
4,1,25,103,106,113,64,67,74
4,1,50,104,108,114,64,67,74
4,1,75,106,109,115,64,67,74
4,1,90,107,110,117,65,68,75
4,1,95,107,111,117,65,68,75
5,1,5,104,107,114,65,68,75
5,1,10,104,107,114,65,68,75
5,1,25,105,109,115,65,68,75
5,1,50,106,110,117,65,69,76
5,1,75,108,111,118,66,69,76
5,1,90,109,112,119,67,70,77
5,1,95,110,113,120,67,70,77
6,1,5,105,109,115,66,69,76
6,1,10,106,110,116,66,69,76
6,1,25,107,111,117,66,69,77
6,1,50,108,112,119,67,70,78
6,1,75,110,113,120,68,71,78
6,1,90,111,115,121,69,72,79
6,1,95,112,116,123,69,73,80
7,1,5,106,110,117,67,70,77
7,1,10,107,111,118,67,70,78
7,1,25,108,112,119,68,71,78
7,1,50,110,113,120,68,72,79
7,1,75,112,115,122,70,73,81
7,1,90,113,117,124,71,74,82
7,1,95,114,117,125,71,74,82
8,1,5,108,111,118,68,71,78
8,1,10,108,112,119,68,71,79
8,1,25,110,113,120,69,72,80
8,1,50,111,115,122,70,73,81
8,1,75,113,117,124,71,74,82
8,1,90,114,118,125,72,75,83
8,1,95,115,119,127,73,76,84
9,1,5,109,112,119,69,72,80
9,1,10,109,113,120,69,73,80
9,1,25,111,115,122,71,74,82
9,1,50,113,117,124,72,75,83
9,1,75,115,119,126,73,76,84
9,1,90,116,120,128,73,77,85
9,1,95,117,121,129,74,77,85
10,1,5,110,114,121,70,74,81
10,1,10,111,115,122,71,74,82
10,1,25,113,116,124,72,75,83
10,1,50,115,119,126,73,77,85
10,1,75,117,120,128,74,77,85
10,1,90,118,122,130,74,77,86
10,1,95,119,123,131,74,77,86
11,1,5,111,115,122,72,75,83
11,1,10,112,116,124,72,76,84
11,1,25,114,118,126,73,77,85
11,1,50,116,120,128,74,78,86
11,1,75,119,123,130,74,78,86
11,1,90,120,124,132,74,78,86
11,1,95,121,125,133,74,78,86
12,1,5,113,117,125,73,77,85
12,1,10,115,119,126,74,78,86
12,1,25,117,121,128,75,78,86
12,1,50,119,123,131,75,78,86
12,1,75,121,125,133,75,78,86
12,1,90,123,127,135,75,78,87
12,1,95,124,128,136,75,78,87
13,1,5,116,120,128,75,78,86
13,1,10,117,121,129,75,78,87
13,1,25,119,123,131,75,79,87
13,1,50,121,125,133,75,79,87
13,1,75,123,128,136,75,79,87
13,1,90,125,130,138,76,79,87
13,1,95,126,130,139,76,79,88
14,1,5,118,122,130,75,79,87
14,1,10,119,124,132,75,79,87
14,1,25,121,125,133,75,79,87
14,1,50,123,128,136,75,79,87
14,1,75,125,130,138,76,79,88
14,1,90,127,131,140,76,80,88
14,1,95,128,133,141,77,80,89
15,1,5,120,124,132,76,79,87
15,1,10,121,125,133,76,79,87
15,1,25,122,127,135,76,79,88
15,1,50,124,128,137,76,80,88
15,1,75,126,131,139,77,80,89
15,1,90,128,132,141,77,81,89
15,1,95,129,133,142,77,81,90
16,1,5,121,125,133,76,79,88
16,1,10,121,126,134,76,79,88
16,1,25,123,127,136,76,80,88
16,1,50,125,129,138,76,80,88
16,1,75,126,131,140,77,80,89
16,1,90,128,133,141,77,81,90
16,1,95,129,134,142,78,81,90
17,1,5,121,126,134,76,80,88
17,1,10,122,126,135,76,80,88
17,1,25,124,128,136,76,80,88
17,1,50,125,130,138,77,80,89
17,1,75,127,131,140,77,81,89
17,1,90,129,133,142,78,81,90
17,1,95,129,134,143,78,82,90
3,2,5,99,102,108,63,67,74
3,2,10,99,103,109,63,67,74
3,2,25,100,103,110,64,67,74
3,2,50,101,104,111,64,67,74
3,2,75,102,105,112,64,67,74
3,2,90,103,106,113,64,67,75
3,2,95,103,107,113,64,67,75
4,2,5,101,105,111,64,67,75
4,2,10,101,105,111,64,67,75
4,2,25,102,106,112,64,67,75
4,2,50,103,107,113,64,67,75
4,2,75,104,107,114,65,68,75
4,2,90,105,109,115,65,68,76
4,2,95,105,109,115,65,68,76
5,2,5,103,106,113,65,68,76
5,2,10,103,107,113,65,68,76
5,2,25,104,107,114,65,68,76
5,2,50,105,109,115,65,68,76
5,2,75,106,109,116,66,69,77
5,2,90,107,111,117,66,70,77
5,2,95,108,111,118,67,70,78
6,2,5,104,108,115,65,69,76
6,2,10,105,108,115,66,69,77
6,2,25,106,109,116,66,69,77
6,2,50,107,110,117,67,70,78
6,2,75,108,112,118,67,71,79
6,2,90,109,113,119,68,71,79
6,2,95,110,114,121,69,72,80
7,2,5,105,109,115,66,69,77
7,2,10,106,109,116,66,69,77
7,2,25,107,110,117,67,70,78
7,2,50,108,112,119,68,71,79
7,2,75,109,113,120,69,72,80
7,2,90,111,114,122,69,73,81
7,2,95,112,115,122,70,73,82
8,2,5,106,110,116,67,70,78
8,2,10,107,111,117,67,71,79
8,2,25,108,112,119,68,71,79
8,2,50,109,113,120,69,72,80
8,2,75,111,115,122,70,73,82
8,2,90,112,116,123,71,74,83
8,2,95,113,117,124,71,75,83
9,2,5,108,111,118,68,71,79
9,2,10,108,112,119,68,72,80
9,2,25,110,113,120,69,73,81
9,2,50,111,115,122,71,74,82
9,2,75,113,117,124,72,75,84
9,2,90,114,118,125,72,76,84
9,2,95,115,119,126,73,76,85
10,2,5,109,113,120,69,73,81
10,2,10,110,114,121,70,73,82
10,2,25,112,116,123,71,75,83
10,2,50,113,117,124,72,76,84
10,2,75,115,119,126,73,76,85
10,2,90,116,120,128,73,77,85
10,2,95,117,121,129,73,77,86
11,2,5,112,115,122,71,75,83
11,2,10,113,116,123,72,75,84
11,2,25,114,118,125,73,76,85
11,2,50,116,120,127,73,77,86
11,2,75,117,121,128,74,77,86
11,2,90,118,122,129,74,77,86
11,2,95,118,122,130,74,77,86
12,2,5,113,117,124,73,76,85
12,2,10,114,118,125,73,77,85
12,2,25,116,120,127,74,77,86
12,2,50,117,121,129,74,78,86
12,2,75,118,122,130,74,78,87
12,2,90,119,123,130,74,78,87
12,2,95,119,123,131,74,78,87
13,2,5,115,119,126,74,77,86
13,2,10,116,120,127,74,78,87
13,2,25,117,121,128,74,78,87
13,2,50,118,122,129,74,78,87
13,2,75,119,123,130,74,78,87
13,2,90,119,123,131,74,78,87
13,2,95,119,123,131,75,78,87
